nombre de noeuds;taille du travail;taille des morceaux;temps du travail
31;10000000;100000;0m0.686s
31;10000000;100000;0m0.385s
31;100000000;100000;0m0.903s
31;100000000;100000;0m1.198s
31;100000000;100000;0m1.313s
39;1000;100000;0m0.202s
39;1000;100000;0m0.182s
39;1000;100000;0m0.186s
39;10000;100000;0m0.450s
39;10000;100000;0m0.311s
39;10000;100000;0m0.201s
39;100000;100000;0m0.283s
39;100000;100000;0m0.287s
39;100000;100000;0m0.433s
39;1000000;100000;0m0.425s
39;1000000;100000;0m0.417s
39;1000000;100000;0m0.304s
39;10000000;100000;0m0.385s
39;10000000;100000;0m0.415s
39;10000000;100000;0m0.508s
39;100000000;100000;0m1.195s
39;100000000;100000;0m1.111s
39;100000000;100000;0m0.804s
39;1000000000;100000;0m4.775s
39;1000000000;100000;0m4.795s
39;1000000000;100000;0m5.019s
47;1000;100000;0m0.207s
47;1000;100000;0m0.182s
47;1000;100000;0m0.184s
47;10000;100000;0m0.322s
47;10000;100000;0m0.314s
47;10000;100000;0m0.207s
47;100000;100000;0m0.284s
47;100000;100000;0m0.302s
47;100000;100000;0m0.423s
47;1000000;100000;0m0.516s
47;1000000;100000;0m0.398s
47;1000000;100000;0m0.309s
47;10000000;100000;0m0.384s
47;10000000;100000;0m0.415s
47;10000000;100000;0m0.517s
47;100000000;100000;0m0.721s
47;100000000;100000;0m1.023s
47;100000000;100000;0m0.710s
47;1000000000;100000;0m3.987s
47;1000000000;100000;0m4.220s
47;1000000000;100000;0m4.996s
7;1000;1000000;0m0.221s
15;1000;1000000;0m0.221s
23;1000;1000000;0m0.222s
31;1000;1000000;0m0.185s
39;1000;1000000;0m0.207s
47;1000;1000000;0m0.203s
7;1000;10000000;0m0.219s
15;1000;10000000;0m0.222s
23;1000;10000000;0m0.223s
31;1000;10000000;0m0.177s
39;1000;10000000;0m0.202s
47;1000;10000000;0m0.185s
7;1000;100000000;0m0.221s
15;1000;100000000;0m0.221s
23;1000;100000000;0m0.226s
31;1000;100000000;0m0.185s
39;1000;100000000;0m0.203s
47;1000;100000000;0m0.203s
7;1000;1000000000;0m0.221s
15;1000;1000000000;0m0.213s
23;1000;1000000000;0m0.183s
31;1000;1000000000;0m0.183s
39;1000;1000000000;0m0.183s
47;1000;1000000000;0m0.202s
7;10000;1000000;0m0.225s
15;10000;1000000;0m0.221s
23;10000;1000000;0m0.182s
31;10000;1000000;0m0.186s
39;10000;1000000;0m0.184s
47;10000;1000000;0m0.201s
7;10000;10000000;0m0.223s
15;10000;10000000;0m0.223s
23;10000;10000000;0m0.223s
31;10000;10000000;0m0.184s
39;10000;10000000;0m0.182s
47;10000;10000000;0m0.206s
7;10000;100000000;0m0.229s
15;10000;100000000;0m0.222s
23;10000;100000000;0m0.225s
31;10000;100000000;0m0.177s
39;10000;100000000;0m0.182s
47;10000;100000000;0m0.202s
7;10000;1000000000;0m0.220s
15;10000;1000000000;0m0.223s
23;10000;1000000000;0m0.224s
